Id,Name,category,lowprice,highprice,health_index,star1,star2,star3,star4,star5,Accept_Credit_Card,Alcohol,Appointment_Only,Caters,Delivers,Dogs_Allowed,Outdoor_Seating,Parking,Smoking_allowed,Take_out,Takes_Reservations,Wheelchair_Accessible,WIFI,Opened_24hrs,Ambience,Attire,Noise_Level,Music
4RpdVZIR3dV890pJ5hQd9A,Lucca Back Bay,"Italian,Wine Bars",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,"Valet, Garage",,Yes,Yes,,No,,Romantic,Dressy,Average,Juke Box
poswq7BdLM9Iryd9palDVQ,SRV Boston,"Italian,Wine Bars",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,No,Yes,,No,,Trendy,Dressy,Average,
4k_wbk7GppLxBhfga3Fdjw,Lemon Thai Cuisine,"Thai,Seafood,Soup",$11-30,$11-30,,0,0,0,0,0,Yes,No,,No,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,
DrQgIMe9fKfNvvHoXO8Y0w,Social Restaurant & Bar,"American (New),Bars,Breakfast & Brunch",$11-30,$11-30,,18,18,20,44,50,Yes,Full Bar,,Yes,,No,No,"Garage, Street, Validated",,Yes,Yes,Yes,Free,,Casual,Casual,Average,Live
3ysQylsFQj7JNIlQjncQeQ,Max and Leo’s,"Pizza,Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,
PygaMm6O5n1UDHrbnm7uBg,House of Siam,"Thai,Seafood",$11-30,$11-30,,17,29,35,57,38,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Quiet,
1hWZ0K2DOKZB9Xft08VZ9g,Sorellina,"Italian,Bars,Salad",Above $61,Above $61,,14,33,82,183,326,Yes,Full Bar,,No,,,No,"Valet, Street",,No,Yes,,No,,"Classy, Upscale",Dressy,Average,
u51e3gychuqBYNqe2xG6_w,Lolita Cocina & Tequila Bar Back Bay,"Mexican,Lounges,Cocktail Bars",$11-30,$11-30,,111,112,232,564,760,Yes,Full Bar,,No,,,No,Street,,No,Yes,,No,,Trendy,Casual,Loud,
3G3GvCsArfZrhoRrIYxDkw,Fogo de Chão Brazilian Steakhouse,"Brazilian,Steakhouses",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,,No,"Valet, Street",,No,Yes,,No,,Classy,Casual,Average,
Rr7rhulFCpGvO341g-EWVg,Legal Sea Foods,Seafood,$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,,No,"Garage, Street, Validated",,Yes,Yes,,No,,Casual,Casual,Average,
XWF0qtV3GxkgfdvAjwpfzQ,Thai Basil Restaurant,"Thai,Seafood,Noodles",$11-30,$11-30,,46,43,81,159,84,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
FmAIHFqUBNkCw3YBCRQLmQ,Redbones BBQ,"Barbeque,Bars,Sandwiches",$11-30,$11-30,,116,200,350,586,413,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,No,,Casual,,Loud,
XgJWwSXomuSblxFBE-AxpA,Petit Robert Bistro,"French,Breakfast & Brunch,Wine Bars",$11-30,$11-30,,34,45,58,123,114,Yes,Full Bar,,No,,,Yes,"Valet, Street",,Yes,Yes,,Free,,,Casual,Average,
hewGudgB-tUk2ADWsUIHlg,Legal Sea Foods,Seafood,$31-60,$31-60,,53,55,44,44,38,Yes,Full Bar,,No,,,Yes,Private Lot,,Yes,Yes,,No,,,Casual,Average,
q5HPp961WsjoVDaOmN8SwQ,Giacomo’s,"Italian,Seafood,Wine Bars",$11-30,$11-30,,0,0,0,0,0,No,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Loud,
EYMC8NHn6U-4WpLo54dQtw,Anchovies,"Italian,Bars,Salad",$11-30,$11-30,,20,21,35,139,134,Yes,Full Bar,,No,,,No,Street,,Yes,No,,Free,,"Divey, Casual",Casual,Average,
uCN25MmdW27fZ2UJQ-tU4Q,Gaya Pizzeria,"Pizza,Italian",Under $10,Under $10,,0,2,2,7,45,Yes,No,,Yes,,No,No,Street,,Yes,No,Yes,Free,,,Casual,Quiet,
9-KBO2jGuvMCrM88ysDLTA,Foundry on Elm,"Bars,Gastropubs,American (New)",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,Free,,Trendy,Casual,Average,
u0CvoJ_bAx5SCSiI_meUOQ,Greek Corner Restaurant,"Greek,Mediterranean",$11-30,$11-30,,31,35,56,244,235,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,
nq902iEwTCZv-EzZV2wHQA,Five Horses Tavern,"Beer Bar,American (New),Tacos",$11-30,$11-30,,38,78,120,283,176,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,Free,,Casual,Casual,Loud,
9LPokpPIiNCC5ilJXwX_rQ,Davio’s Chestnut Hill,"Italian,Steakhouses,Gluten-Free",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,"Valet, Private Lot",,Yes,Yes,,Free,,Upscale,,Average,
9jlK2GUXrk40TbN1yTSMJw,The Talk,"American (Traditional),Italian",$11-30,$11-30,,42,41,54,69,72,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,No,,,Casual,Average,
-pK1SR3blPDEzYKwXk4L5Q,Coda,"American (New),Burgers,Cocktail Bars",$11-30,$11-30,,11,33,101,263,152,Yes,Full Bar,,No,,,No,"Garage, Street, Validated",,Yes,Yes,,Free,,Casual,Casual,Average,
nlnWODemnfzut10tzC5x3A,Post 390,"Bars,American (New)",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,"Garage, Street, Validated",,No,Yes,Yes,Free,,Trendy,Casual,Average,
WkjIWu8rIpAAUhnqsuik9w,The Table at Season to Taste,American (New),Above $61,Above $61,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,No,Yes,,No,,Intimate,Casual,Average,
vCaaXCYqpBsxJy2kBR67IA,The Brahmin,"American (New),Cocktail Bars",$11-30,$11-30,,65,55,67,92,93,Yes,Full Bar,,Yes,,,Yes,"Valet, Garage, Street",,Yes,Yes,,Free,,Trendy,Dressy,Loud,DJ
dz2OSto01aMIWkGHXd8lOg,FiRE + iCE  Grill + Bar,"Mongolian,American (Traditional),Cocktail Bars",$11-30,$11-30,,118,116,146,149,92,Yes,Full Bar,,No,,,No,"Garage, Street",,No,Yes,,Free,,Casual,Casual,Loud,
VH0Ib9S3E-dxbQdQC4rffg,Mistral,French,Above $61,Above $61,,24,45,112,248,466,Yes,Full Bar,,No,,,No,"Valet, Street",,Yes,Yes,,Free,,"Classy, Upscale",Dressy,Average,
zZ7roMv_c8R4slTMPPdkng,Delux Café,"Bars,American (Traditional)",$11-30,$11-30,,15,14,39,120,107,No,Full Bar,,No,,,No,Street,,Yes,No,,No,,"Divey, Hipster, Casual",Casual,Average,Juke Box
_98MfEQ67r9-V78gmy8_Pg,Grill 23 & Bar,"Seafood,Steakhouses,Wine Bars",Above $61,Above $61,,57,95,123,255,383,Yes,Full Bar,,No,,,No,"Valet, Street",,No,Yes,,Free,,"Classy, Upscale",Dressy,Average,
NYa-JphaaB41ElGsb3iawA,Toro,"Tapas Bars,Spanish,Cocktail Bars",$31-60,$31-60,,61,85,195,631,963,Yes,Full Bar,,No,,,Yes,"Valet, Street",,Yes,No,,Free,,Trendy,Casual,Loud,
qVNYCZi2ofv-oe293JsYkg,75 Chestnut,"American (New),Diners,Steakhouses",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,No,No,"Valet, Garage, Street",,Yes,Yes,Yes,Free,,Intimate,,Average,
G2qQ72XEMVW4A9SNDHGwOg,Stephi’s on Tremont,"American (New),Comfort Food,Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,Yes,Yes,,Free,,Trendy,Casual,Average,
gCsidBqhALICug9E2AphCw,Da Vinci,Italian,$31-60,$31-60,,12,24,34,101,220,Yes,Full Bar,,Yes,,,Yes,"Valet, Street",,Yes,Yes,,No,,"Romantic, Classy",Dressy,Average,
sRNcBkZrs2bOrijfElHVyQ,The Paramount,"Breakfast & Brunch,American (New),Sandwiches",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,No,,No,,Casual,,Average,
5LEP8Rcb4_To8amoZodtow,The Butcher Shop,"Steakhouses,Butcher,Modern European",$31-60,$31-60,,27,46,79,177,152,Yes,Beer & Wine Only,,No,,,No,"Valet, Street",,Yes,Yes,,No,,Trendy,Casual,Average,
CB0KEBdcItjSDMOkcv7QtA,Toscano Restaurant,Italian,$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,,No,,,Yes,Yes,,No,,Classy,Dressy,Average,
nBG0C0J7bnBnUMB39F5O-A,Bin 26 Enoteca,"Italian,Wine Bars",$31-60,$31-60,,25,40,45,69,64,Yes,Beer & Wine Only,,No,,,No,"Valet, Street",,Yes,Yes,,Free,,Classy,Casual,Average,
mxjVk5rvPNhzYe_vt3OSQA,B&G Oysters,"Seafood,Wine Bars",$31-60,$31-60,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,Yes,Street,,No,Yes,,No,,,Casual,Average,
DkuCJwpeiGhW41EEcOKweg,CLINK.,"American (New),Lounges",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,No,No,Valet,,No,Yes,Yes,No,,Trendy,Dressy,Average,
MjpH-uP90jTUp_KqAOiBJg,Stella,"Italian,Wine Bars",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,Yes,No,,Trendy,Casual,Average,
mP1EdIafQKMuOm9O4PzAfA,Barcelona Wine Bar South End,"Spanish,Wine Bars,Tapas/Small Plates",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,Yes,No,,Trendy,Casual,Average,
Mj9P_ON9YPDmFV4GJXYYYA,Seasons 52,"American (New),Wine Bars,Seafood",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Valet,,Yes,Yes,,Free,,,Casual,Average,Live
uMZoY7AyG08rnN-YiQN7fA,MJ O’Connor’s Irish Pub,"American (Traditional),Irish Pub",$11-30,$11-30,,33,38,57,59,33,Yes,Full Bar,,No,,,Yes,Street,,Yes,Yes,,Free,,Casual,Casual,Average,
XDe1BMq0C7ljuW3a6WoAwg,Brio Tuscan Grille,"Italian,Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Private Lot,,Yes,Yes,,Free,,,Casual,Average,Background
QhhOFdwFrgHFjrUYlI67IA,Menotomy Grill & Tavern,"American (Traditional),Pubs",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,No,Yes,Private Lot,,Yes,Yes,,Free,,Casual,Casual,Average,
AG1ETqbneinRRJUeA8PfSA,Fleming’s Prime Steakhouse & Wine Bar - Boston,"Wine Bars,Steakhouses,Seafood",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,"Valet, Garage, Street, Validated",,Yes,Yes,,Free,,Classy,Dressy,Average,Background
U4ppRbaM8K12j3oOyirXXg,Pescatore,"Italian,Seafood",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,Free,,,Casual,Average,
Kx3hGswNK6iuMb53KUcsvg,Noor Mediterranean Grill,"Mediterranean,Middle Eastern,Salad",$11-30,$11-30,,0,0,0,0,0,Yes,No,,Yes,,No,Yes,Street,,Yes,No,,No,,Casual,Casual,Average,
mIZTif2mj2-CozNOOTFFpg,Sound Bites,"Breakfast & Brunch,Middle Eastern,Mediterranean",$11-30,$11-30,,91,101,146,270,358,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,No,,Free,,Casual,Casual,Average,
5HMXgD_gui5n0Tc_hadesg,The Gallows,"Burgers,Bars,American (Traditional)",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,"Valet, Street",,Yes,Yes,,Free,,Trendy,Casual,Average,
QaKYHTjR7ZygxaFUskdMEA,Sabur,Mediterranean,$11-30,$11-30,,16,19,41,74,81,Yes,Full Bar,,Yes,,,Yes,Private Lot,,Yes,Yes,,Free,,,Casual,Average,
bqC8cTtPJmSAW6NUVHV9YQ,Tavern at the End of the World,"Pubs,American (New)",$11-30,$11-30,,10,7,28,86,68,Yes,Full Bar,,No,,,No,Street,,Yes,No,,Free,,Casual,Casual,Average,"Live, Juke Box"
GwwX5JjuOVpw0ZlBvCqEOg,Coppa Enoteca,"Italian,Tapas/Small Plates",$31-60,$31-60,,26,60,100,242,349,Yes,Beer & Wine Only,,No,,,Yes,Street,,Yes,Yes,,Free,,,Casual,Average,
_muVoNc4H_H_557WJvVWWQ,Ostra,Seafood,Above $61,Above $61,,0,0,0,0,0,Yes,Full Bar,,No,,,No,,,No,Yes,,No,,Upscale,Dressy,Average,
wITbeprsnf9wt1CYHIf4Dw,The Capital Grille,"Steakhouses,Seafood,Wine Bars",Above $61,Above $61,,21,28,28,56,126,Yes,Full Bar,,Yes,,No,No,"Valet, Private Lot",,No,Yes,Yes,Free,,Classy,Dressy,Average,
wt-fwK_Y4WmJ0HBui4EsIQ,Fat Hen Broadway East,"Italian,Wine Bars",$31-60,$31-60,,2,9,8,10,32,Yes,Full Bar,,No,,No,No,Street,,No,Yes,Yes,No,,,Dressy,Average,
vyE6uuzEcB8vl11skeofrQ,Vinny’s Ristorante,"Italian,Sandwiches,Wine Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,"Street, Private Lot",,Yes,Yes,,Free,,Casual,,Average,
5TsjdwNt10gxGChQtGGpdg,Gaslight,"French,American (New),Cocktail Bars",$11-30,$11-30,,63,120,292,731,633,Yes,Full Bar,,No,,,Yes,"Street, Private Lot",,Yes,Yes,,Free,,,Casual,Average,
72PQGMhrEcIuWH-S44TprA,Myers & Chang,"Asian Fusion,Taiwanese,Cocktail Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,Yes,Yes,,Free,,Trendy,Casual,Average,
0s8iv660dB30pHK4W1r6KA,Genki Ya - Boston,"Sushi Bars,Japanese,Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,Yes,No,,Casual,Casual,Average,
W2YNtO5W_ZK6o-1t8uLcYw,Montien Thai Restaurant,"Thai,Seafood,Cocktail Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,Free,,Casual,Casual,Average,
dy-XO6rRE1cAMMrpMDQRrw,Explorateur,"French,Bars,American (New)",$11-30,$11-30,,34,33,57,36,51,Yes,Full Bar,,Yes,,,No,"Garage, Street",,Yes,Yes,,Free,,"Casual, Trendy, Classy",Casual,Average,
5rINmqRcMlJCBR3vwMKbtg,Cinquecento,"Italian,Seafood,Bars",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,"Street, Private Lot",,No,Yes,,Free,,Trendy,Casual,Average,
RNqUyblZzXvg0a2fBjJQQg,Artisan Bistro,American (New),$31-60,$31-60,,20,19,16,15,23,Yes,Full Bar,,Yes,,,No,"Valet, Garage",,Yes,Yes,,Free,,Classy,Dressy,Average,
KwL8wWNuUHoplvn8ff97bg,Blu Restaurant & Bar,"American (New),Seafood",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,"Garage, Validated",,Yes,Yes,,Free,,Trendy,Dressy,Average,
J1uidHIL7nE_noUuvFXj0A,Grotto,Italian,$31-60,$31-60,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,,No,,"Intimate, Romantic",Casual,Average,
uYqizPy4eUSpwOha0RkVPg,No. 9 Park,"French,Italian",Above $61,Above $61,,26,41,74,144,322,Yes,Full Bar,,No,,,No,Valet,,No,Yes,,No,,"Classy, Upscale",Dressy,Average,
RQUZgVKcgenO-FjTg0j80A,Scollay Square,"Seafood,American (Traditional),Cocktail Bars",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,Yes,Yes,,No,,Casual,Casual,Average,
jhFi0oxdyiyCYK7i-CW59A,Black Seed Cafe & Grill,"Middle Eastern,Halal,Falafel",Under $10,Under $10,,0,0,0,0,0,Yes,No,,Yes,,,No,Street,,Yes,No,,Free,,Casual,Casual,Average,
llMSRtQledMr2T9Qbm9VIQ,Pita,"Mediterranean,Middle Eastern,Moroccan",Under $10,Under $10,,20,17,20,62,86,Yes,No,,Yes,,,No,Street,,Yes,No,,Free,,Casual,Casual,Average,
tyVAy-kkpui3p7zxxZok7g,49 Social,American (New),$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,"Street, Validated",,Yes,Yes,,Free,,"Trendy, Intimate",Casual,Average,
fEKzWC1sbfZSElp46FoNag,Mooo Restaurant,"Steakhouses,Wine Bars,Breakfast & Brunch",Above $61,Above $61,,0,0,0,0,0,Yes,Full Bar,,No,,,No,"Valet, Street",,Yes,Yes,,No,,Upscale,Dressy,Average,
mTyK9-_6CYY6XYAG56c68Q,Carrie Nation Restaurant & Cocktail Club,"American (Traditional),Cocktail Bars,Salad",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Valet,,Yes,Yes,,Free,,"Trendy, Classy",Dressy,Average,
_RWkck7niE8VJG3zLXK2ig,Silvertone,"American (Traditional),Cocktail Bars,Sandwiches",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,Yes,No,,No,,Casual,,Loud,
2bncbx08BFs_IO6H-yWBxw,Bubor Cha Cha,"Dim Sum,Seafood,Cantonese",$11-30,$11-30,,75,43,60,93,36,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
V8_e5MRjfexH4WFBqjDWCg,Beantown Pub,"Pubs,American (Traditional),Breakfast & Brunch",$11-30,$11-30,,78,97,157,164,72,Yes,Full Bar,,Yes,,,No,Street,,Yes,No,Yes,Free,,Casual,Casual,Average,Juke Box
4mClpg19Ntiw1s75kF19Bg,China Pearl Restaurant,"Dim Sum,Seafood,Cantonese",$11-30,$11-30,,63,77,136,166,58,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Loud,
VlXOIzTFaEwF--oPFzfDkA,99 Restaurants,"American (Traditional),Pubs",$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Private Lot,,Yes,No,Yes,Free,,Casual,Casual,Average,Background
hHVq3NS0ZW9G-ZcLurvUJQ,Shabu-Zen,"Hot Pot,Do-It-Yourself Food,Fondue",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,No,Yes,,No,,Casual,Casual,Average,
ZJw7_sCOfaUmib1Q0vBAZA,Jade Garden,"Chinese,Seafood,Chicken Wings",$11-30,$11-30,,0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,Yes,,No,,Casual,,Average,
